pedido_id,produto_id,produto_categoria,valor
0,11597,moveis_decoracao,199
1,1995,utilidades_domesticas,21
2,1347,beleza_saude,145
3,7349,beleza_saude,59
4,4940,cama_mesa_banho,74
5,551,esporte_lazer,99
6,683,esporte_lazer,99
7,12614,cama_mesa_banho,47
8,8712,esporte_lazer,219
9,6881,moveis_decoracao,109
10,2414,moveis_decoracao,119
11,11229,moveis_decoracao,59
12,10976,esporte_lazer,21
13,13495,cama_mesa_banho,39
14,10673,informatica_acessorios,809
15,11229,moveis_decoracao,59
16,10521,informatica_acessorios,81
17,11138,cama_mesa_banho,99
18,10492,beleza_saude,18
19,8051,cama_mesa_banho,69
20,14707,informatica_acessorios,195
21,16284,beleza_saude,35
22,3532,moveis_decoracao,79
23,10012,moveis_decoracao,29
24,8076,esporte_lazer,74
25,4954,informatica_acessorios,19
26,1368,esporte_lazer,390
27,7555,informatica_acessorios,135
28,9096,moveis_decoracao,44
29,7274,beleza_saude,492
30,10625,moveis_decoracao,88
31,13029,utilidades_domesticas,78
32,10578,moveis_decoracao,249
33,10934,cama_mesa_banho,53
34,4439,utilidades_domesticas,60
35,14635,utilidades_domesticas,39
36,3815,utilidades_domesticas,159
37,1700,cama_mesa_banho,59
38,11272,beleza_saude,48
39,13053,cama_mesa_banho,87
40,16803,moveis_decoracao,19
41,16220,esporte_lazer,41
42,6440,esporte_lazer,169
43,8857,utilidades_domesticas,119
44,1630,utilidades_domesticas,85
45,12225,informatica_acessorios,220
46,7140,beleza_saude,66
47,1388,informatica_acessorios,85
48,13448,informatica_acessorios,84
49,15413,moveis_decoracao,189
50,592,utilidades_domesticas,37
51,12492,beleza_saude,116
52,11791,automotivo,94
53,7960,moveis_decoracao,179
54,1569,beleza_saude,110
55,4298,esporte_lazer,21
56,11138,cama_mesa_banho,92
57,4228,informatica_acessorios,149
58,13651,beleza_saude,120
59,5360,informatica_acessorios,46
60,5080,esporte_lazer,96
61,13942,informatica_acessorios,120
62,13276,esporte_lazer,69
63,7853,cama_mesa_banho,40
64,9767,moveis_decoracao,59
65,12867,esporte_lazer,96
66,10997,informatica_acessorios,77
67,15286,esporte_lazer,14
68,9458,beleza_saude,39
69,6567,utilidades_domesticas,179
70,11808,esporte_lazer,37
71,16753,beleza_saude,154
72,14773,moveis_decoracao,253
73,10144,esporte_lazer,49
74,9306,cama_mesa_banho,148
75,149,cama_mesa_banho,64
76,11107,esporte_lazer,27
77,9216,moveis_decoracao,39
78,7896,informatica_acessorios,269
79,2991,cama_mesa_banho,99
80,11574,cama_mesa_banho,69
81,260,informatica_acessorios,89
82,3411,esporte_lazer,133
83,509,informatica_acessorios,35
84,12629,beleza_saude,14
85,15929,beleza_saude,99
86,4775,informatica_acessorios,90
87,9110,beleza_saude,43
88,8376,cama_mesa_banho,109
89,3193,automotivo,28
90,11365,cama_mesa_banho,199
